property_title,location,number_of_rooms,price,size,property_type,property_type_encoded,location_clean,location_encoded,number_of_rooms_clean,price_clean
full room or sharing only for malayali,"Misfah, Muscat•",2,OMR 40,15.0,room,9,misfah,49,2.0,40.0
room for rent,"Al Ghubrah, Muscat•",1,OMR 100,45.0,room,9,al ghubrah,7,1.0,100.0
شقة الايجار في المعبيلة بقرب من مسقط مول,"Al Maabilah, Muscat•",2,OMR 260,146.0,apartment,0,al maabilah,14,2.0,260.0
شقة للإيجار معبيلة الرابعة للعزابية,"Al Maabilah, Muscat•",3,OMR 155,100.0,apartment,0,al maabilah,14,3.0,155.0
master bedroom for rent – only for filipino or indian executive lady.,"Al Hail, Muscat•",1,OMR 120,180.0,room,9,al hail,8,1.0,120.0
ايجار شقق في صحلنوت,"Salalah, Dhofar•",3,OMR 70,280.0,apartment,0,salalah,65,3.0,70.0
غرفة للأجار اليومي، الاسبوعي، الشهري,"Al Maabilah, Muscat•",1,OMR 100,1.0,room,9,al maabilah,14,1.0,100.0
room for rent near the city cntr and shell petrol station 98493959,"Al Mawaleh, Muscat•",1,OMR 100,24.0,room,9,al mawaleh,15,1.0,100.0
للبيع أو الإيجار رياحين بدية الراكة بيت ضيافة استراحة,"Bidiya, Al Sharqiya•",3,OMR 50,150.0,villa,13,bidiya,31,3.0,50.0
single and double bed room accoomodation available in wad adai,"Ruwi, Muscat•",2,OMR 170,100.0,room,9,ruwi,61,2.0,170.0
للإيجار | محلات تجارية في الخوض السادسة shops for rent | al khoudh 6,"Al Khoud, Muscat•",,OMR 600,400.0,shop,11,al khoud,12,3.142857142857143,600.0
بيت العطلات بوادي سال بجعلان بني بو علي ٩كم من الشاطئ الشرقية-عمان,"Ja'alan Bani Bu Ali, Al Sharqiya•",3,OMR 50,200.0,house,5,ja'alan bani bu ali,39,3.0,50.0
the pearl musct 1bhk fully furnished,"Muscat Hills, Muscat•",1,OMR 475,78.0,room,9,muscat hills,52,1.0,475.0
warehouse for rent rusail مخزن للايجار رسيل,"Al Rusayl, Muscat•",,"OMR 1,700",537.5,warehouse,14,al rusayl,20,6.0,1700.0
shop for rent محل للايجار,"Al Hail, Muscat•",,"OMR 1,000",101.0,shop,11,al hail,8,3.142857142857143,1000.0
full furnished flat for rent in boshar,"Bosher, Muscat•",1,OMR 300,63.0,flat,4,bosher,32,1.0,300.0
limited time offer: perfect bed spaces in al-khuwair!,"Al Khuwair, Muscat•",1,OMR 50,22.0,commercial,2,al khuwair,13,1.0,50.0
80.                                       . . .,"Salalah, Dhofar•",2,OMR 80,1.0,room,9,salalah,65,2.0,80.0
شقق مفروشة للإيجار خريف صلالة,"Salalah, Dhofar•",2,OMR 50,100.0,apartment,0,salalah,65,2.0,50.0
apartments for daily  rent al dharez family only,"Salalah, Dhofar•",3,OMR 50,156.0,apartment,0,salalah,65,3.0,50.0
industrial land for investment,"Al Rusayl, Muscat•",,"OMR 4,000",3.0,land,7,al rusayl,20,2.5833333333333335,4000.0
sharing room,"Ghala, Muscat•",2,OMR 45,100.0,room,9,ghala,34,2.0,45.0
single room with attached bathroom available opposite to al nadha hosp,"Al Hamriyah, Muscat•",1,OMR 85,500.0,room,9,al hamriyah,9,1.0,85.0
fully furnished along with electricity and water bill,"Al Ghubrah, Muscat•",1,OMR 200,102.0,room,9,al ghubrah,7,1.0,200.0
room available for rent,"Al Maabilah, Muscat•",1,OMR 100,200.0,room,9,al maabilah,14,1.0,100.0
furnish flat four daly rant,"Salalah, Dhofar•",2,OMR 50,350.0,flat,4,salalah,65,2.0,50.0
غرف جديدة كليا للشباب ب ١٠ ريال,"Salalah, Dhofar•",1,"OMR 1,000",15.0,room,9,salalah,65,1.0,1000.0
منزل للإيجار اليومي,"Taqah, Dhofar•",4,OMR 60,300.0,room,9,taqah,75,4.0,60.0
sharing room.,"Al Maabilah, Muscat•",2,OMR 25,120.0,room,9,al maabilah,14,2.0,25.0
bed space– attached bathroom & shared kitchen,"Ruwi, Muscat•",1,OMR 40,200.0,room,9,ruwi,61,1.0,40.0
single room for rent,"Mutrah, Muscat•",1,OMR 60,537.5,room,9,mutrah,53,1.0,60.0
sharing room,"Al Hail, Muscat•",1,OMR 60,100.0,room,9,al hail,8,1.0,60.0
room for rent for lady include water electricity  and wifi,"Qurum, Muscat•",1,OMR 120,25.0,room,9,qurum,58,1.0,120.0
1 bhk specious villa at al khuwair opp al bustan gift market,"Al Khuwair, Muscat•",1,OMR 170,100.0,villa,13,al khuwair,13,1.0,170.0
غرفتين فندقيه في اتين,"Salalah, Dhofar•",2,OMR 50,80.0,room,9,salalah,65,2.0,50.0
building for rent مبنى للإيجار,"Sohar, Al Batinah•",,OMR 550,265.0,building,1,sohar,70,1.625,550.0
محل للايجار,"Al Mawaleh, Muscat•",,OMR 150,25.0,shop,11,al mawaleh,15,3.142857142857143,150.0
"an offer rent room daily,weekly and monthly in azaiba","Azaiba, Muscat•",1,OMR 10,50.0,room,9,azaiba,26,1.0,10.0
an offer rooms rent at azaiba muscat,"Azaiba, Muscat•",1,OMR 10,60.0,rooms,10,azaiba,26,1.0,10.0
محلات الايجار  محلات مسجد ناصر بن مرشد,"Al Maabilah, Muscat•",,OMR 90,80.0,shop,11,al maabilah,14,3.142857142857143,90.0
استوديو للايجار في الخوير 33   شامل  الفواتير و الصيانة مفروش,"Al Khuwair, Muscat•",1,OMR 180,80.0,studio,12,al khuwair,13,1.0,180.0
شقة أرضية مستقلة للأجار اليومي,"Salalah, Dhofar•",3,OMR 50,100.0,apartment,0,salalah,65,3.0,50.0
room for rent,"Al Seeb, Muscat•",1,OMR 100,10.0,room,9,seeb,66,1.0,100.0
بناية وادي عين سعاده الشمالية,"Salalah, Dhofar•",6,OMR 50,300.0,room,9,salalah,65,6.0,50.0
غرفه ومشاركة سكن في المعبيلة الجنوبية للموظفات والطالبات فقط,"Al Maabilah, Muscat•",2,OMR 70,10.0,room,9,al maabilah,14,2.0,70.0
شقق للايجار لا تضيع فرصتك . . سعر منافس,"Salalah, Dhofar•",3,OMR 50,537.5,apartment,0,salalah,65,3.0,50.0
غرفه للإيجار في قلب الخوير نظيفه شامل كهرباء و ماء و إنترنيت سعر مناسب,"Al Khuwair, Muscat•",1,OMR 100,80.0,room,9,al khuwair,13,1.0,100.0
المعبيلة,"Al Maabilah, Muscat•",1,OMR 130,45.0,room,9,al maabilah,14,1.0,130.0
omr 225 + 1 month free 1 bhk luxury flat at wadikabir iswk,"Al Wadi Al Kabir, Muscat•",1,OMR 225,100.0,flat,4,al wadi al kabir,24,1.0,225.0
aziba villa 4+1 for rent بالعذيبه الشماليه فيلا 4+1 للايجار,"Azaiba, Muscat•",4,OMR 650,300.0,villa,13,azaiba,26,4.0,650.0
madinat sultan qaboos townhouse  villa for rent,"Madinat As Sultan Qaboos, Muscat•",4,OMR 630,250.0,villa,13,madinat sultan qaboos,44,4.0,630.0
i have family flat  130 ro,"Al Hail, Muscat•",2,OMR 50,100.0,flat,4,al hail,8,2.0,50.0
السعادة الشمالية,"Salalah, Dhofar•",4,OMR 50,200.0,room,9,salalah,65,4.0,50.0
very good & renovated apartment in darsait for rent near to ism,"Darsait, Muscat•",3,OMR 240,200.0,apartment,0,darsait,33,3.0,240.0
commercial office مكتب تجاري في أكثر منطقة حيوية  شارع المها  للايجار,"Bosher, Muscat•",,OMR 330,72.0,commercial,2,bosher,32,1.7682119205298013,330.0
room for rent (indian female only) with shared kitchen and appliances,"Al Ghubrah, Muscat•",1,OMR 120,70.0,room,9,al ghubrah,7,1.0,120.0
"apartments for rent for families in al amerat,","Al Amarat, Muscat•",3,OMR 170,400.0,apartment,0,al amarat,1,3.0,170.0
غرف  نظيف ايجار يومي,"Salalah, Dhofar•",7,OMR 15,2.0,room,9,salalah,65,6.0,15.0
shop/store for rent,"Salalah, Dhofar•",,OMR 90,50.0,shop,11,salalah,65,3.142857142857143,90.0
بيت صغير للإيجار في خريف صلاله,"Salalah, Dhofar•",1,OMR 50,1.0,house,5,salalah,65,1.0,50.0
شقة للأيجار اليومي في صلالة الجديدة,"Salalah, Dhofar•",2,"OMR 1,111",35.0,apartment,0,salalah,65,2.0,1111.0
room for rent,"Al Ghubrah, Muscat•",1,OMR 16.99,35.0,room,9,al ghubrah,7,1.0,16.99
high quality 2bhk apartment at al ansab near bank muscat,"Ansab, Muscat•",2,OMR 220,100.0,apartment,0,al ansab,2,2.0,220.0
شقة جديده غرفتين وصالة خلف مركز القبائل بوشر,"Bosher, Muscat•",2,OMR 215,100.0,apartment,0,bosher,32,2.0,215.0
offices for rent in al khuwair - مكاتب للإيجار في الخوير,"Al Khuwair, Muscat•",,"OMR 1,230",205.0,commercial,2,al khuwair,13,1.7682119205298013,1230.0
شقة للإيجار في منطقة الحاجر الجامود,"Al Amarat, Muscat•",3,OMR 130,130.0,apartment,0,al amarat,1,3.0,130.0
room for daily rent for females only غرفة للإيجار اليومي للنساء فقط,"Bosher, Muscat•",3,OMR 10,111.0,room,9,bosher,32,3.0,10.0
room for rent,"Azaiba, Muscat•",1,OMR 135,350.0,room,9,azaiba,26,1.0,135.0
غرفة متكاملة في مكان مميز خلف سيتي سنتر الموالح,"Al Mawaleh, Muscat•",1,OMR 130,40.0,room,9,al mawaleh,15,1.0,130.0
ارض ومخزن للايجار في عبري مقابل صالة عمانتل,"Ibri, Al Dhahirah•",,OMR 700,450.0,warehouse,14,ibri,37,6.0,700.0
room for rent,"Al Hail, Muscat•",1,OMR 100,12.0,room,9,al hail,8,1.0,100.0
فيلا للإيجار  اليومي صحنوت,"Salalah, Dhofar•",5,OMR 80,300.0,villa,13,salalah,65,5.0,80.0
وادي عدي,"Ruwi, Muscat•",2,OMR 85,85.0,room,9,ruwi,61,2.0,85.0
bedspaces for ladies only,"Al Ghubrah, Muscat•",3,OMR 40,160.0,commercial,2,al ghubrah,7,3.0,40.0
فلل فاخره وجديده لموسم خريف صلاله,"Salalah, Dhofar•",5,OMR 120,350.0,room,9,salalah,65,5.0,120.0
غرفة للايجار,"Saham, Al Batinah•",1,OMR 50,11.0,room,9,saham,64,1.0,50.0
a neat bed space for rent,"Al Khuwair, Muscat•",1,OMR 35,36.0,commercial,2,al khuwair,13,1.0,35.0
"daily 2r, weekly 10r, monthly 35r","Al Khuwair, Muscat•",1,OMR 35,31.0,room,9,al khuwair,13,1.0,35.0
a bed space in a sharing room for rent,"Al Khuwair, Muscat•",1,OMR 35,33.0,room,9,al khuwair,13,1.0,35.0
3 bedrooms flat for rent near maubila industrial area and new nesto,"Al Maabilah, Muscat•",3,OMR 145,115.0,flat,4,al maabilah,14,3.0,145.0
صلاله,"Salalah, Dhofar•",3,"OMR 1,111",537.5,room,9,salalah,65,3.0,1111.0
اجار فله لسياح الخريف بل يوميه ٤٥,"Salalah, Dhofar•",4,OMR 50,200.0,room,9,salalah,65,4.0,50.0
1bhk 2bhk room bedspace are all available 77151508,"Sohar, Al Batinah•",2,OMR 120,200.0,room,9,sohar,70,2.0,120.0
للإيجار اليومي غرف وصالة ومجلس ومطبخ 2 حمام,"Salalah, Dhofar•",1,OMR 200,111.0,room,9,salalah,65,1.0,200.0
شقه مفروشه الخوير,"Al Khuwair, Muscat•",2,OMR 300,120.0,room,9,al khuwair,13,2.0,300.0
i have for bed space,"Al Khuwair, Muscat•",2,OMR 130,30.0,commercial,2,al khuwair,13,2.0,130.0
شقق فاخرة فندقية للإجار,"Taqah, Dhofar•",1,OMR 50,10.0,apartment,0,taqah,75,1.0,50.0
فيلا فاخيرك للإجار,"Salalah, Dhofar•",4,OMR 115,10.0,villa,13,salalah,65,4.0,115.0
alkhuwair renting apartment,"Al Khuwair, Muscat•",1,OMR 185,66.0,apartment,0,al khuwair,13,1.0,185.0
room for rent in wadi adi غرفه للايجار في وادي عدي,"Ruwi, Muscat•",1,OMR 60,12.0,room,9,ruwi,61,1.0,60.0
سوق الخوض ملحق بفيلا غرفه وصاله ومطبخ 120ريال,"Al Khoud, Muscat•",1,OMR 120,60.0,villa,13,al khoud,12,1.0,120.0
